gene,RMS2021,"""RMS2028""",RMS2051,RMS2052,RMS2056,RMS2058,RMS2059,RMS2075,RMS2080,RMS2094,RMS2103,RMS2110,RMS2114,RMS216,RMS231,NCI0075,NS127muscle,NS128muscle,NS129muscle,NS132muscle,NS134muscle
A1BG,400,701,830,1384,694,496,333,501,1905,614,442,1070,736,1938,1268,298,78,77,177,110,223
A1BG-AS1,103,127,342,406,81,305,147,91,377,142,138,123,260,300,196,86,18,6,18,12,15
A1CF,1,1,7,9,10,41,11,7,36,121,16,3,32,16,26,7,2,7,2,5,6
A2M,7837,35519,18449,15216,21237,20861,26702,5595,13450,13098,13114,251108,22648,32014,25667,4493,35939,16804,16724,9014,8604
A2M-AS1,45,301,75,19,94,265,75,17,200,127,31,697,64,166,56,13,237,232,227,170,288
A2ML1,12,10,4,2,3,18,3,3,31,12,15,15,18,13,16,20,4,7,8,6,2
A2MP1,3,3,11,11,4,41,12,3,12,32,14,5,4,18,18,0,34,18,16,17,7
A3GALT2,3,9,21,56,3,24,4,20,31,13,2,19,4,40,54,18,6,1,2,1,1
A4GALT,1280,242,474,95,192,271,322,86,242,794,461,317,333,318,1569,104,650,778,616,555,489
A4GNT,5,24,4,10,2,5,36,4,1,2,3,4,4,3,31,6,5,0,2,1,1
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,4528,7188,12816,7428,2928,9813,9105,5785,6825,12314,9384,8644,4015,12269,6282,7116,1651,2246,1518,1432,1762
AACS,1266,1839,1739,1570,1413,3689,2123,2034,1633,2895,5318,3133,4299,3940,3217,1243,711,752,514,498,595
AACSP1,12,86,4826,1428,1770,82,11240,1134,6446,11,425,1453,47,9767,2260,1785,0,0,0,0,1
AADAC,1,3,2,2,1,0,2,0,0,0,0,2,0,5,49,0,9,2,2,6,0
AADACL2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,1,8,4,1
AADACL2-AS1,1,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AADACL4,1,0,1,0,4,0,0,0,2,0,3,0,0,0,10,0,3,1,1,0,1
AADACP1,4,6,6,3,3,0,0,0,2,0,0,8,1,2,8,1,6,1,8,2,3
AADAT,976,2631,3377,1917,988,6397,1626,2874,1544,5942,2659,1376,1227,3372,2693,1748,267,258,240,235,229
AAED1,613,236,342,88,213,225,146,135,790,1217,401,243,345,288,480,134,376,561,458,439,547
AAGAB,2218,2418,5153,3247,1791,3883,2913,4106,2776,3684,4276,2554,3233,3218,3335,3492,1048,1830,846,1267,2418
AAK1,1304,3664,3392,4964,2184,8069,3697,2818,5852,2648,4187,3525,6081,4149,5707,2629,1405,1846,1220,1746,2173
AAMDC,434,748,1203,952,532,640,713,719,1208,2239,581,711,729,1915,1313,792,3108,5061,3893,3349,6187
