"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000021252.11",814,752,818,236,262,265,221,355,296,710,1295
"ENSMUSG00000007777.9",80,99,91,51,53,54,42,110,51,246,431
"ENSMUSG00000086714.1",919,897,915,905,1228,1214,981,1552,1075,8,3
"ENSMUSG00000043644.4",322,220,235,47,79,44,45,54,62,5,8
"ENSMUSG00000024442.5",1562,1630,1563,300,429,468,354,612,463,767,1152
"ENSMUSG00000042208.15",1920,2645,2392,1151,1249,1141,1026,1634,1585,530,804
"ENSMUSG00000020831.18",1066,1134,1138,484,778,655,605,780,730,7,8
"ENSMUSG00000089755.1",37,27,42,13,10,13,8,44,20,0,0
"ENSMUSG00000107002.1",179,208,149,55,70,84,63,149,94,9,40
"ENSMUSG00000046683.16",20,27,81,34,37,36,15,64,68,0,0
"ENSMUSG00000058706.5",1222,1405,1284,755,1205,949,824,1542,1174,488,417
"ENSMUSG00000099146.7",120,194,265,120,135,163,117,167,278,0,0
"ENSMUSG00000028608.15",1251,1661,1571,870,987,829,843,1476,1113,298,225
"ENSMUSG00000097882.2",169,204,212,125,185,290,135,347,220,26,9
"ENSMUSG00000058812.2",175,127,142,289,437,400,389,458,366,0,1
"ENSMUSG00000089889.2",130,102,118,33,29,23,43,99,71,13,4
"ENSMUSG00000087341.4",653,591,723,528,592,757,515,1422,1271,0,3
"ENSMUSG00000060512.7",398,433,708,1311,1467,1438,1126,1643,2146,4,2
"ENSMUSG00000087361.7",1717,1867,1711,717,1137,1266,893,1549,1348,0,0
"ENSMUSG00000097863.1",4,7,11,3,4,3,0,10,24,0,4
"ENSMUSG00000097222.1",3,9,23,13,18,9,12,9,22,0,0
"ENSMUSG00000090066.2",3460,2996,4102,1196,1758,1608,1572,4703,2199,100,85
"ENSMUSG00000097134.1",24,31,62,54,51,32,39,89,82,1,0
"ENSMUSG00000071456.6",1580,1845,1625,369,455,464,419,810,724,575,814
"ENSMUSG00000022972.9",506,677,516,235,372,300,241,478,296,373,323
"ENSMUSG00000030663.12",2379,2283,2045,1043,1327,1227,1181,2143,1769,1870,1831
"ENSMUSG00000046119.2",0,7,5,0,3,8,0,0,8,0,0
"ENSMUSG00000027637.3",468,535,481,734,1275,899,842,1060,1049,1276,2211
"ENSMUSG00000021023.14",1323,1657,1464,1006,1035,914,1012,2408,1946,355,434
"ENSMUSG00000039195.4",415,465,385,187,201,191,179,276,215,87,562
"ENSMUSG00000045237.5",151,211,169,38,65,58,57,94,72,305,394
"ENSMUSG00000098659.7",28,33,75,45,58,50,55,105,66,0,0
"ENSMUSG00000028441.12",67,78,132,108,116,163,98,227,238,0,0
"ENSMUSG00000085151.7",5,16,43,21,19,26,17,61,26,0,1
"ENSMUSG00000097616.7",1480,1431,1735,549,607,593,431,1000,1159,37,87
"ENSMUSG00000097047.1",38,43,38,12,29,16,14,36,21,2,9
"ENSMUSG00000068073.2",1,0,5,4,1,1,0,2,4,0,0
"ENSMUSG00000085972.1",5,13,38,14,7,17,3,28,28,0,0
"ENSMUSG00000099139.1",19,19,37,36,29,28,23,52,52,0,0
"ENSMUSG00000037971.10",650,585,661,254,181,245,207,458,274,107,112
"ENSMUSG00000046999.2",0,5,5,7,0,3,1,4,11,0,0
"ENSMUSG00000044991.10",1969,2200,2529,570,613,574,620,945,843,31,33
"ENSMUSG00000099098.4",99,89,96,69,58,88,64,155,139,0,2
"ENSMUSG00000097036.1",4,12,21,9,11,36,11,42,40,0,0
"ENSMUSG00000040720.15",4278,5119,4718,3407,4822,3797,4183,7115,4952,1633,1833
"ENSMUSG00000092203.7",3751,20144,18316,10166,23359,19892,9477,35973,21867,870,1229
"ENSMUSG00000063236.5",497,415,383,140,260,184,170,264,212,303,487
"ENSMUSG00000085457.3",586,507,595,250,239,232,244,462,502,113,202
"ENSMUSG00000040591.18",6305,6891,6837,1825,1920,2021,1808,4038,3220,472,359
"ENSMUSG00000068067.2",0,0,0,0,0,1,0,0,3,0,0
"ENSMUSG00000035171.9",2350,2643,2522,769,970,951,844,1773,1355,788,790
"ENSMUSG00000032551.6",204,248,222,170,171,88,121,215,160,122,160
"ENSMUSG00000078570.10",192,136,135,102,169,130,131,202,162,277,273
"ENSMUSG00000045414.7",2099,1704,2791,1732,1844,1885,1686,4211,1993,795,911
"ENSMUSG00000096537.6",37,63,83,52,64,68,45,92,134,0,0
"ENSMUSG00000043687.15",220,334,467,381,488,519,304,504,740,0,2
"ENSMUSG00000063320.11",125,145,129,31,7,16,8,32,37,55,52
"ENSMUSG00000087684.1",51,120,40,464,624,513,502,1067,686,1,2
"ENSMUSG00000097290.8",1616,1652,1735,230,305,253,197,467,375,37,63
"ENSMUSG00000033688.9",404,486,553,317,301,404,268,513,661,3,3
"ENSMUSG00000096221.3",298,289,252,166,163,130,147,279,247,166,88
"ENSMUSG00000098912.7",658,1134,1142,305,607,550,327,911,922,25,31
"ENSMUSG00000068099.4",6,24,55,47,47,39,35,77,82,0,0
"ENSMUSG00000087651.2",78,103,248,166,195,209,93,346,351,52,31
"ENSMUSG00000072694.7",202,237,198,111,117,109,89,97,99,83,107
"ENSMUSG00000051319.6",202,201,138,23,46,50,29,48,35,87,182
"ENSMUSG00000097247.2",52,82,152,111,110,95,68,153,236,0,0
"ENSMUSG00000098702.1",258,270,288,197,186,186,128,345,263,41,85
"ENSMUSG00000094732.1",38,34,65,49,42,41,47,79,107,0,0
"ENSMUSG00000026051.8",88,124,145,135,84,94,91,329,236,6,0
"ENSMUSG00000087579.7",204,377,673,534,520,554,429,1065,1011,0,0
"ENSMUSG00000097383.1",94,90,126,42,61,75,55,145,158,16,10
"ENSMUSG00000059631.6",1149,1294,1055,214,315,346,253,699,632,0,0
"ENSMUSG00000043747.12",23,47,116,89,83,107,55,111,166,8,3
"ENSMUSG00000086899.7",166,285,639,479,515,677,409,803,1079,1,0
"ENSMUSG00000024118.13",246,283,225,97,90,101,64,522,248,232,336
"ENSMUSG00000035595.6",163,218,125,115,120,153,133,212,150,62,68
"ENSMUSG00000101585.6",11775,20579,18941,23868,36082,30238,26537,50544,34736,2,3
"ENSMUSG00000050088.9",1886,2268,1708,3392,4551,3624,3745,10640,7833,366,837
"ENSMUSG00000047661.9",29,39,59,48,20,56,34,64,109,0,0
"ENSMUSG00000054676.15",129,204,199,84,73,103,83,115,182,193,211
"ENSMUSG00000094690.1",0,0,4,3,1,0,2,9,6,0,1
"ENSMUSG00000029813.8",4,9,13,22,7,12,9,28,34,0,0
"ENSMUSG00000099429.1",5,14,22,12,16,32,11,25,32,0,0
"ENSMUSG00000097048.7",1551,2005,1567,11557,18741,9965,14472,27007,20252,43,69
"ENSMUSG00000085114.1",4,6,17,3,9,4,7,13,15,0,0
"ENSMUSG00000057818.8",25,20,57,42,62,63,45,56,86,2,1
"ENSMUSG00000029182.10",27,61,114,99,58,96,69,121,187,0,0
"ENSMUSG00000047150.8",88,138,202,165,159,128,133,224,346,3,0
"ENSMUSG00000099419.1",217,237,264,187,135,204,210,267,234,0,0
"ENSMUSG00000095384.1",1,8,25,15,11,18,5,38,47,0,0
"ENSMUSG00000087170.7",150,230,453,322,293,298,197,485,679,0,0
"ENSMUSG00000085984.7",119,55,60,15,17,34,30,67,62,4,10
"ENSMUSG00000095040.2",20,13,14,2,10,5,6,11,18,0,0
"ENSMUSG00000086135.1",2,2,10,6,7,6,3,9,2,0,0
"ENSMUSG00000101963.1",2,7,4,12,3,7,9,13,19,11,9
"ENSMUSG00000056508.5",318,297,270,526,506,576,484,5063,912,0,0
"ENSMUSG00000075511.8",118,171,201,202,228,262,265,644,596,7,2
"ENSMUSG00000021534.7",224,258,297,229,226,212,258,333,419,3,1
"ENSMUSG00000044320.14",201,211,149,68,64,58,35,66,92,17,8
"ENSMUSG00000018543.8",36,65,54,117,142,158,93,194,268,0,2
"ENSMUSG00000099391.2",3,6,6,5,10,4,4,7,13,0,0
"ENSMUSG00000085944.1",17,36,57,50,32,48,29,61,76,0,0
"ENSMUSG00000030030.5",75,97,79,37,34,79,46,73,81,8,18
"ENSMUSG00000095110.1",1,0,0,1,0,0,1,0,5,0,0
"ENSMUSG00000038523.10",33,36,44,26,38,24,28,70,53,42,32
"ENSMUSG00000085831.7",9,5,18,4,17,16,17,18,23,0,0
"ENSMUSG00000087621.7",71,84,83,106,140,106,127,92,100,0,0
"ENSMUSG00000039174.14",32,51,106,66,83,70,54,123,137,0,0
"ENSMUSG00000100372.1",0,2,6,1,5,3,8,1,3,0,0
"ENSMUSG00000101565.1",62,77,193,119,120,129,92,208,240,0,0
"ENSMUSG00000085389.7",1,11,22,16,15,25,16,31,48,0,3
"ENSMUSG00000100727.6",30,68,116,92,75,95,81,133,187,0,0
"ENSMUSG00000027973.11",32,46,73,60,50,58,34,62,118,0,0
"ENSMUSG00000010841.13",135,109,149,72,103,121,67,166,131,0,0
"ENSMUSG00000100274.1",458,473,198,229,442,112,242,337,219,0,0
"ENSMUSG00000102000.6",4,10,29,16,24,17,11,17,37,0,0
"ENSMUSG00000034764.15",11,61,111,94,58,65,54,139,140,0,4
"ENSMUSG00000031620.16",771,1183,2287,1535,1405,1736,1080,2236,3095,0,0
"ENSMUSG00000101234.1",5,4,5,11,16,10,12,6,13,5,2
"ENSMUSG00000100666.1",33,64,128,67,91,93,37,149,166,0,2
"ENSMUSG00000057816.7",1124,1402,2473,2064,2005,2080,1611,2840,3500,0,0
"ENSMUSG00000086330.7",1320,1546,1746,4975,5608,5176,5497,8374,5402,3,3
"ENSMUSG00000030858.10",5,18,27,17,17,26,27,50,48,1,1
"ENSMUSG00000026831.16",1,13,29,16,24,13,9,24,26,1,1
"ENSMUSG00000097318.1",23,20,23,9,11,12,10,10,9,22,15
"ENSMUSG00000086613.1",11,7,21,16,11,4,8,29,9,0,0
"ENSMUSG00000089730.2",6,13,20,6,14,28,3,10,34,0,0
"ENSMUSG00000101225.1",351,313,296,297,454,405,300,457,422,11,32
"ENSMUSG00000101012.6",4,1,9,9,5,9,12,6,6,0,0
"ENSMUSG00000008028.15",94,165,228,161,157,171,119,266,305,0,0
"ENSMUSG00000069118.3",10,15,20,10,17,14,6,20,42,0,0
"ENSMUSG00000101404.1",20,29,25,21,18,28,12,40,69,0,0
"ENSMUSG00000096573.2",0,2,11,1,9,6,4,12,9,0,0
"ENSMUSG00000028287.4",0,6,9,6,5,6,2,7,9,0,0
